Código interno;Nome;Preço regular;ativo;estoque;Código de barras;Promocao;Data termino promocao
11902;ACQUISSIMA Passion Natural 1,5L Com Gás;85,71962946;False;148;7,89865E+12;2,99;31/dez/22
12902;ALIM PASSARO FORTE 500g PAPAGAIO;14,96188176;False;447;;8,9;31/dez/22
604;Abacate Avocado Kg;52,66207448;False;751;604;0;31/out/22
59;Abacate Kg;49,01210858;True;66;;4,95;31-FEV-21
10066;Abacaxi Em Calda Sabor E Artes;85,80970033;False;511;7,89891E+12;7,9;22/mai/23
13176;Abacaxi Em Calda Tozzi 830G;26,92402848;False;834;;9,9;10/jan/21
60;Abacaxi Un;46,59837754;False;917;;;
5;Abobora Cabotian Kg;11,30960422;False;772;;;
431;Abobora Cabotian Picada Kg;68,02767884;False;69;;;
311;Abobora Moranga Kg;16,83665956;False;368;;;
6;Abobora Paulista Kg;10,85957819;False;289;;;
219;Abobora Seca Kg;0,148730532;False;229;;;
361;Abobrinha Brasileira Kg;23,91225013;False;137;;;
7;Abobrinha Italiana Kg;0,85120322;False;565;;;
432;Abobrinha Italiana Picada Kg;15,55408535;False;246;;;
15133;Above Aerosol Women Soft Creme 150ml;27,6690825;False;517;7,89967E+12;;
13177;Abraçadeira Rosca 3/4 C/2;10,26694424;False;274;;;
13178;Abracadeira Rosca Sem Fim 2Un;0,478972865;False;751;13178;;
15764;Abridor De Lata C/Furador Use Util;78,28215424;False;199;7,89677E+12;;
12822;Abridor De Lata Catuai 1Un;50,93252434;False;948;;;
12823;Abridor De Lata Use Util;42,85211203;False;461;7,89677E+12;;
13365;Abs Always Noites Tranq 8Un;4,348338904;False;605;;;
9524;Abs Carefree 15Un Sem Fragancia;0,472586994;False;840;;;
9526;Abs Carefree Protetor 15Un Orig;28,93451215;False;526;;;
9527;Abs Carefree Protetor Brisa 15Un;30,81958435;False;951;;;
9499;Abs Interno Intimus 8Un Medio;82,66318874;False;152;;;
9500;Abs Interno Intimus 8Un Mini;5,445561667;False;702;;;
9501;Abs Interno Intimus 8Un Super;46,78912606;False;58;;;
9476;Abs Intimus Gel 16Un C/Abas Seco;3,802049721;False;186;;;
9474;Abs Intimus Gel 16Un C/Abas Suave;23,29457218;False;587;;;
9477;Abs Intimus Gel Nor C/ Abas 8Un Suave;64,04821707;False;945;;;
9478;Abs Intimus Gel Normal 8Un C Abas Seca;34,44218643;False;776;9478;;
9520;Abs Intimus Not C/Abas 8Un;37,7549184;False;865;;;
9521;Abs Intimus Not C/Abas 8Un Seca;17,19049492;False;373;;;
9503;Abs Intimus Tripla Acao 8Un S/ Abas;46,33691634;False;692;;;
9506;Abs Ob Lev 10 Pag 8;24,46107131;False;969;;;
9510;Abs Ob Super 10Un;7,187456819;False;726;;;
9511;Abs Sempre Livre 8Un S/ Abas Suave;36,68713411;False;66;;;
9487;Abs Sempre Livre Especial L16 P14 C/ Aba;63,30844514;False;150;;;
9489;Abs Sempre Livre Especial Sv C/ Abas;6,45825309;False;293;;;
9488;Abs Sempre Livre Noturno 8Un Com Abas;22,29524704;False;486;;;
9490;Abs Sempre Livre Tri Protect 8Un Com Aba;8,173935093;False;955;;;
9513;Abs Sempre Livre Tri Protect 8Un S/ Abas;52,2090283;False;802;;;
9514;Abs Sym Sv S/ Abas 8Un;57,32080498;False;92;;;
9509;Absorvente Interno ProComfort O.B. Mini Caixa 8 Unidades;7,696198691;False;742;7,89101E+12;;
9536;Absorvente Wil Babys C/12Un P/Seios;54,31712641;False;877;;;
15071;Absorvente com Abas Extra Suave Dia & Noite Ultrafino Intimus Pacote 14 Unidades;55,3425504;False;252;7,89601E+12;;
11566;Absorvente com Abas Extra Suave Intimus Tripla Proteção Pacote Leve 9 Pague 8 Unidades;14,06531397;False;942;7,89601E+12;;
13486;Absorvente com Abas Naturalmente Gel Mais Pacote Leve 8 Pague 7 Unidades;32,85847127;False;941;7,89606E+12;;
10479;Absorvente com Abas Noturno Ultrafino Seca Always Pacote 8 Unidades;59,53287733;False;809;7,59E+12;;
14722;Absorvente com Abas SEMPRE LIVRE Suave Maxi Noturno com 16 Unidades;25,46146443;False;101;7,89101E+12;;
13501;Absorvente com Abas Seca Always Noites Tranquilas Pacote Leve 8 Pague 7 Unidades;7,169832492;False;733;7,50634E+12;;
12683;Absorvente com Abas Seca Maxi Proteção Always Pacote 8 Unidades;13,68573559;False;81;7,50107E+12;;
14723;Absorvente com Abas Seca Sempre Livre Adapt Plus Pacote 32 Unidades Leve Mais Pague Menos;19,66972859;False;266;7,89101E+12;;
13264;Absorvente com Abas Seca Super Proteção Always Pacote 16 Unidades  Leve Mais Pague Menos;38,6893107;False;422;7,50044E+12;;
12260;Absorvente com Abas Seca Super Proteção Always Pacote 8 Unidades;10,14246277;False;262;7,50044E+12;;
12627;Absorvente com Abas Suave Super Proteção Always Pacote 8 Unidades;7,187637603;False;205;7,50044E+12;;
11411;Absorvente para Seios Johnson's Caixa 24 Unidades;0,12752533;False;810;7,89101E+12;;
9496;Absorvente sem Abas Dia Seca Always Super Proteção Pacote 8 Unidades;3,36097914;False;374;7,50044E+12;;
11945;Absorvente sem Abas Suave Super Proteção Always Pacote 8 Unidades;9,045011062;False;598;7,501E+12;;
5360;Acafrao Cordeiro 20G;11,70918347;False;929;;;
14338;Açafrao Semeador 30G;1,53568497;False;329;7,89894E+12;;
11242;Acai Ener-Gy 180G Guarana;0,16533903;False;323;11242;;
11243;Acai Saint Luiger 180G Banana;6,683257148;False;283;;;
11238;Acai Saint Luiger 1Kg Com Banana;3,178677338;False;986;;;
11239;Acai Saint Luiger 2Lt Banana;43,43474458;False;616;;;
